,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_MSE,split1_test_MSE,split2_test_MSE,split3_test_MSE,split4_test_MSE,mean_test_MSE,std_test_MSE,rank_test_MSE,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,split0_test_MSE_exp,split1_test_MSE_exp,split2_test_MSE_exp,split3_test_MSE_exp,split4_test_MSE_exp,mean_test_MSE_exp,std_test_MSE_exp,rank_test_MSE_exp,split0_test_R2_exp,split1_test_R2_exp,split2_test_R2_exp,split3_test_R2_exp,split4_test_R2_exp,mean_test_R2_exp,std_test_R2_exp,rank_test_R2_exp,split0_test_MAE_exp,split1_test_MAE_exp,split2_test_MAE_exp,split3_test_MAE_exp,split4_test_MAE_exp,mean_test_MAE_exp,std_test_MAE_exp,rank_test_MAE_exp,model_name,feature_col,scaling,param_alpha,param_fit_intercept,param_min_samples_leaf,param_min_samples_split
124,0.39473276138305663,0.025544865596425326,0.0033324718475341796,0.0003775797212537349,0.6,0.2,5.0,300.0,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.18605594448878363,0.0019734191913495912,0.1858583913252864,0.13125569823949657,0.20045002515087004,0.14111869567915725,0.07348454264854706,432,0.9138812205155896,0.9989023971411799,0.9035700116486959,0.9305367572270561,0.9024729999665047,0.9298726772998052,0.035955089909310255,1,0.22805195599464526,0.03430837987731316,0.24038085153627775,0.20454285877357473,0.24339875604792932,0.19013656044594804,0.07910611958371278,396,5123.412884192621,6.865679855809546,1550.2874127707632,201.17691522018765,602.3421627611028,1496.8170109600972,1889.6444211769551,395,0.6171375003141089,0.9951568045032136,0.39181900736023045,0.8791522245995992,0.8985360884717981,0.75636032504979,0.22117365310056855,107,9.669668498733506,0.5611283998450763,4.857802690885941,3.1420965080282652,5.050168461766284,4.656172911851814,2.9796926678018227,409,XGBoost,conc_morfeus_descirptors,Literature,,,,
124,0.37752580642700195,0.030132610039146752,0.0030196666717529296,0.00016044019337887704,0.6,0.2,5.0,300.0,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.17796370824692306,0.001887581773735491,0.1775301909026789,0.12554697324127598,0.19173179126285156,0.134932049085493,0.07025873044504576,432,0.9138812340809023,0.9989024010254082,0.9037026810783841,0.930536738737921,0.9024729887607803,0.9298992087366791,0.03593571512055692,1,0.2230373857703258,0.03355392651789644,0.23481531725230878,0.20004528907744165,0.23804683172699795,0.18589975006899412,0.07733123696294844,399,3909.805857127779,5.436878715082724,1210.1705384545648,163.55455025673723,467.62318446383256,1151.3182018035993,1440.0609470963839,394,0.6281651933291861,0.9954073712612818,0.4093093385315969,0.8815659316796611,0.9014671057222761,0.7631829881048005,0.214719140933187,103,8.647885879725012,0.5152543614135715,4.450261579656383,2.904939979687589,4.595995319991308,4.222867424094773,2.655373730104066,408,XGBoost,conc_morfeus_descirptors,y_standard,,,,
0,9.640366125106812,0.04907921854347497,766.8917406558991,382.2496043216011,,,,,,{'alpha': 1e-10},5.156198337500413,0.0001376322199942095,5.238371402425327,5.126091566162071,5.486845543247118,4.201528896310984,2.104517982426371,2,-1.6789764118520334,0.9999140727413727,-2.050782079049114,-2.0451466048401015,-1.9965839179344496,-1.354314988186865,1.1851264591322144,1,1.6421086703622179,0.0012056542544654695,1.7138989721712123,1.7428328990204025,1.808552575467826,1.3817197542552249,0.6923226937395687,2,5173.134750279742,0.07343284264706657,1035.913016656816,628.0711180790494,2443.0761957331665,1856.053702718284,1842.436257712874,2,0.007249196619196874,0.9998861257071591,0.016730467896232115,0.1567333969078809,-0.011139504838307168,0.23389193645843234,0.3876253295031873,1,13.691612254337144,0.02122549545655784,7.434478376045144,7.14263002300836,10.89813126428587,7.837615482626616,4.590806286488217,2,GaussianProcess,conc_morgan_fp,y_minmax,1e-10,,,
0,8.86568660736084,0.4467533491191303,2.2024769306182863,0.07115092894056216,,,,,,{'alpha': 1e-10},2.365440781309555,0.00015449273169658605,2.2646304588766264,2.1130517359674768,2.389959889269084,1.8266474716308878,0.918428245660466,2,-0.09487968034963523,0.999914072152171,-0.1749713704735525,-0.11827088420555487,-0.1628116186334474,0.0897961036979962,0.45598776517197903,1,0.8779460218239685,0.0012773701536782415,0.9232104038065422,0.906210337594952,0.9549685565220789,0.732722537980244,0.36657300233280954,2,13229.05390210203,0.15156986810026613,2479.291122086814,1363.3561024577796,5928.430439911963,4600.0566272853375,4740.404499778004,2,0.011418997468455094,0.9998930794155788,0.027368910272711378,0.18102655128071843,0.0013620515970778069,0.24421391800690836,0.38346731274714624,1,19.833810013643262,0.030057547409971956,9.667921955511062,9.159366189452241,15.013087109109883,10.740848563025285,6.622798084198181,2,GaussianProcess,conc_morgan_fp,Literature,1e-10,,,
0,11.467989540100097,0.20253034735284595,2.5378080368041993,0.05039574527031806,,,,,,{'alpha': 1e-10},1.3375878528027514,0.00014777327912598014,1.1310847666852553,1.0835407446919088,1.3301320721241678,0.9764986419166419,0.4988101686223837,2,0.3527252475997993,0.9999140721732444,0.38646812718980794,0.40049312306402585,0.3234100370456692,0.4926021214145092,0.25507073878871345,1,0.7283663976315409,0.0012492808691073342,0.7389567004890554,0.7311638409080982,0.7968045475772199,0.5993081534950043,0.3000742941880799,2,10269.372950821396,0.1298376495172277,1925.988597150598,1069.2491036164176,4622.781603594782,3577.504418566542,3679.4066633650946,2,0.023350405279633613,0.999890323814124,0.059914745665243796,0.2257291454723589,0.025933559008041063,0.2669636358478803,0.37395025340407895,1,17.681781709185298,0.027978115482482455,8.622893760351626,8.206829326861628,13.465240876519452,9.600944757680098,5.91226762336311,2,GaussianProcess,conc_morgan_fp,y_standard,1e-10,,,
1,10.327685070037841,0.04585415486098073,2.7762897968292237,0.026406617378771268,,,,,,{'alpha': 1e-08},2.0169810818657345,0.2906760874500698,2.0525246786722025,1.8203079067624142,2.0924676415630112,1.6545914792626863,0.6883516135151548,1,-0.04795129818251764,0.8185236033817717,-0.19537257392632124,-0.08135103918779718,-0.14277955048743807,0.07021382831953951,0.3775724412906654,1,0.9085982647459463,0.2247444030092208,0.9569701425023656,0.9484438682850592,1.0256759504417743,0.8128865257968731,0.2964749954097054,2,4851.041305367544,58.900874734344164,360.7716839437688,560.3174567279531,1896.224952455789,1545.4512546458798,1768.262089598686,2,0.06906056277063599,0.9086608223744745,0.6575621706033672,0.24770143891773788,0.2151910927555849,0.4196352174843601,0.31305478438592654,1,12.715067237168507,2.2008861058341447,6.151021926520864,6.981671444971474,10.05403679083027,7.620536701065052,3.5725732779779835,2,GaussianProcess,conc_torsion_fp,y_minmax,1e-08,,,
0,10.189164352416991,0.08926329784816067,2.5684624671936036,0.018771457922852734,,,,,,{'alpha': 1e-10},1.2938779285456898,0.3262817802542316,1.2480018336387129,1.0437991980125803,1.3131855745866328,1.0450292630075695,0.37192224650659367,2,0.401109229192678,0.8185242059275701,0.35249196217586065,0.44759977608397605,0.3610823970697804,0.476161514089973,0.17446959182235625,1,0.6881446098560374,0.23811319282691026,0.6983680432962842,0.6632359867586621,0.7400957597579179,0.6055915184991625,0.1854060904729957,1,12455.674160543598,117.65157186164384,829.3840388457163,1208.7502002254796,4661.496487403622,3854.591291776012,4577.0469734389035,1,0.06921213414362881,0.9170060977212641,0.6746309078758188,0.27389893342305305,0.21477575964654316,0.4299047665620616,0.31555540741054655,2,18.70362146668005,3.040107922122405,8.019653734994352,9.201650886955047,14.137218503081584,10.620450502766687,5.365520288227453,1,GaussianProcess,conc_torsion_fp,Literature,1e-10,,,
1,10.829862594604492,0.0888450514491099,2.7441884517669677,0.007702987826738117,,,,,,{'alpha': 1e-08},0.9356513165791553,0.3120916935082268,0.8789759232644393,0.7751156524393059,1.019308321177309,0.7842285813936873,0.2490641178313939,2,0.5472271424993245,0.8185236117769108,0.5232189838999366,0.5711401104808419,0.4815148106585784,0.5883249318631184,0.11884693101842995,1,0.6221729579819544,0.23287633044296988,0.6151035080493954,0.6153466726739822,0.7060529800914739,0.5583104898479552,0.1663082820757552,2,9607.559206933032,102.05155888536233,641.2255714051095,930.6062406092365,3463.589524681095,2949.0064205027675,3524.374120280853,2,0.086290969211265,0.91379522208805,0.687014395997908,0.3261240185207992,0.27018695437837115,0.4566823120392788,0.30034007881448244,1,16.61180166158172,2.856766589707293,7.109968059539097,8.239411076358158,12.590473562485842,9.481684189934422,4.723578296674455,2,GaussianProcess,conc_torsion_fp,y_standard,1e-08,,,
0,0.9904804229736328,0.039634210887347684,0.27980427742004393,0.01401938701748811,,,,,,{'alpha': 1e-10},6.736267849557116,8.800388148865777e-20,6.910343709839408,6.806673864443005,7.227542137934312,5.536165512354768,2.773181792839042,2,-2.499924070343093,1.0,-3.0245242520007363,-3.043493866825542,-2.9472473511456543,-2.1030379080630053,1.564138546351381,1,1.9317532752323814,2.6830316788029514e-10,2.040604887107415,2.04836214448549,2.1248666164559435,1.6291173847099067,0.8168803301007553,2,5185.3334760878515,3.0786835763824897e-16,1045.691832564363,644.2221321535873,2456.673345508273,1866.3841572628148,1844.6935591912454,2,0.004908199248972123,1.0,0.0074485961682624335,0.1350485743088351,-0.016767088339315395,0.22612765627735087,0.39062264143583236,1,13.864713707627661,4.860089220947038e-09,7.70266604281222,7.418019617225418,11.06684335195401,8.01044854489588,4.65246080537339,2,GaussianProcess,conc_descirptors,y_minmax,1e-10,,,
0,0.886616563796997,0.04614324723762352,0.2523472785949707,0.026331028452179675,,,,,,{'alpha': 1e-10},2.9939305520773813,3.562818430247275e-20,2.906323565329169,2.8045866017454295,3.1081443908990076,2.3625970220101977,1.1855193744818933,1,-0.3857855803233121,1.0,-0.5079047308620652,-0.48424550406426325,-0.5122372665564126,-0.17803461636121062,0.5907955368752682,1,1.007325469246544,1.383028529046272e-10,1.082469932087842,1.0611645573504662,1.1110230640824341,0.8523966045811179,0.4275484449883699,2,13268.83520587807,4.657385418090355e-16,2506.4892097580405,1408.5907986466225,5981.460765423181,4633.075195941183,4749.306221954622,2,0.008446219410405131,1.0,0.016699043626354104,0.15385388885396045,-0.007570851640705367,0.23428566005000287,0.387202706877183,1,20.117942435339213,5.174713612055016e-09,10.048416045520007,9.563504034749377,15.309169158915445,11.007806335939751,6.7182518703404535,2,GaussianProcess,conc_descirptors,Literature,1e-10,,,
0,0.6841802597045898,0.11013342965369614,0.19775896072387694,0.04304394700525271,,,,,,{'alpha': 1e-10},1.5983368184662388,1.7203991376469968e-20,1.3797310459399865,1.3590282636040876,1.6290600141079095,1.1932312284236444,0.6066512792055141,2,0.22654570594592405,1.0,0.25159546169939584,0.24807000200747464,0.17135623018586899,0.3795134799677327,0.31156781263913547,1,0.8114162755109784,1.0470963380310789e-10,0.8374518525281189,0.8284972092886496,0.8863693891274591,0.6727469453119831,0.33729454045837437,2,10326.696827680804,2.1031978291384025e-16,1966.3288769689689,1126.155660992276,4712.965840564936,3626.429441241397,3694.1152594048763,2,0.017898724697903323,1.0,0.040224441024243385,0.1845216395145719,0.006930835913620426,0.24991512823006778,0.3804594026557565,1,18.122519403030953,3.2213082590271115e-09,9.10771531236052,8.722107009801894,13.914565259711495,9.973381397625236,6.061761827537596,2,GaussianProcess,conc_descirptors,y_standard,1e-10,,,
0,0.298185396194458,0.009535234140455465,0.05805387496948242,0.004708144114384739,,,,,,{'alpha': 1e-10},6.661076582237494,8.739905571135633e-20,6.883672752395623,6.723381380845988,7.121757471768186,5.477977637449459,2.74361015793124,2,-2.460857374622428,1.0,-3.0089913176687206,-2.994014098397594,-2.8894741503331014,-2.070667388204369,1.5482061808441778,1,1.9156827144386215,2.6657782723833425e-10,2.029009593093597,2.029446178304274,2.0959833685664075,1.6140243709338957,0.8090914550732556,2,5185.07561766928,3.078222252095422e-16,1045.6858229428622,644.0517431884583,2456.461244273497,1866.2548856148198,1844.610311332344,2,0.0049576835876858905,1.0,0.007454300390167257,0.1352773435034258,-0.01667930395588857,0.22620200470507806,0.3905948206015226,1,13.846915893310717,4.854711921847215e-09,7.698655849811742,7.404160903026307,11.041794689852512,7.998305468171199,4.645099751138472,2,GaussianProcess,conc_morfeus_descirptors,y_minmax,1e-10,,,
0,0.22100434303283692,0.012465684706942051,0.061240100860595705,0.009897581010183369,,,,,,{'alpha': 1e-10},2.963622671123866,3.5613470678266253e-20,2.902887455801299,2.7764693267555045,3.0741414130003193,2.343424173336198,1.1756494363970453,2,-0.3717571238628259,1.0,-0.5061219542040754,-0.4693652579116352,-0.49569345009059584,-0.16858755721382646,0.5862200459265549,1,0.9980876451599622,1.3809599451618404e-10,1.0796934091756865,1.0521266038493198,1.0975665157874126,0.8454948348220954,0.4240829809811724,2,13268.31020953595,4.657110948865042e-16,2506.4826096828688,1408.1987535915857,5981.145012394642,4632.827317041009,4749.151198486352,2,0.008485451347477801,1.0,0.016701632849640546,0.15408939188225812,-0.007517663371092054,0.2343517625416569,0.3871814200980502,1,20.092492812000856,5.172583179434574e-09,10.045795507750608,9.546685832902892,15.280863910107877,10.993167613586964,6.708526158749746,2,GaussianProcess,conc_morfeus_descirptors,Literature,1e-10,,,
0,0.25789589881896974,0.017411389312962176,0.062462377548217776,0.010575155818345417,,,,,,{'alpha': 1e-10},1.5859715082907795,1.7024586083908153e-20,1.3607458178049978,1.3461982217791248,1.6116862880202312,1.1809203671790267,0.6006417536279668,2,0.23252942736310145,1.0,0.2618935780886068,0.2551686721249776,0.18019361478578222,0.3859570584724937,0.30835846541120193,1,0.8050096792749937,1.039082716166225e-10,0.827053789526991,0.8229454006347542,0.8758876143067021,0.6661792967694699,0.33391691259887984,2,10326.180136657986,2.103192984915353e-16,1966.2487194608073,1125.7115635434293,4712.735283524444,3626.1751406373332,3693.981588083024,2,0.017947863635640493,1.0,0.04026356632932493,0.18484322193166147,0.006979416594071086,0.2500068136981396,0.3804318533075876,1,18.090662381239458,3.2211826385254563e-09,9.084386168246104,8.699675201382936,13.880983301797368,9.951141411177408,6.050423234020883,2,GaussianProcess,conc_morfeus_descirptors,y_standard,1e-10,,,
4,0.49824724197387693,0.02889728294497308,0.0035562992095947267,0.00047559687482655024,,,,,,{'alpha': 2.0},0.470723947015387,0.3689795595988625,0.5150999103742451,0.5261030343597252,0.4752460119182802,0.4712304926532999,0.055510640310578126,5,0.755428657315879,0.7696367751155846,0.7000102790035128,0.6874693227385982,0.7404493082314816,0.7305988684810112,0.03172799159556517,1,0.4724727708905865,0.3885932399938895,0.49859213413029213,0.478805219161726,0.4713701123994212,0.4619666953151831,0.03796689209395993,1,2413.642932620302,143.9920530641528,814.172438262747,236.44623948803496,1089.1419191353443,939.4791165141163,817.1064274762988,1,0.5368096761245917,0.7767076334467075,0.2272025357823967,0.6825403820560876,0.5492263308297416,0.5544973116479051,0.1861370253289369,5,9.019524339641093,3.826661860043626,5.52077128780515,5.287193712168039,7.258206715225075,6.182471582976597,1.7885907086925321,1,Ridge,conc_morgan_fp,y_minmax,2.0,,,
4,0.5300457954406739,0.024539159864967953,0.004967975616455078,0.0007267554329452513,,,,,,{'alpha': 2.0},0.5283859389370643,0.4141782296893741,0.5781977983384715,0.5905487654714909,0.533461940540127,0.5289545345953056,0.06231049426628095,5,0.7554286573158786,0.7696367751155863,0.7000102790035134,0.6874693227385951,0.7404493082314805,0.7305988684810109,0.031727991595566156,1,0.5005751248720464,0.4117064974299212,0.5282480497913974,0.5072842227912676,0.4994068810156501,0.4894441551800566,0.04022513660440945,1,6616.83572470148,320.1428111581606,2062.272222558844,525.146505556118,2802.8780363649953,2465.45506006792,2274.9740227142092,1,0.5055369686510571,0.7741645031674891,0.19096629626398087,0.6845423994781348,0.5278581067570532,0.536613654863543,0.19941305652771193,5,13.875304187529776,5.390403191845219,7.941102682876063,7.492251656571389,10.808008010655005,9.10141394589549,2.9465171867203743,1,Ridge,conc_morgan_fp,Literature,2.0,,,
